latitude,longitude,rwi,error,pm25,pm25_distance,wealth_quartile,region
5.3863356,118.1359863,-0.459,0.506,13.313911,0.0016588533233779742,Q1 (Poorest),Sabah
6.3698938,116.3562012,0.105,0.534,12.729604,0.005038486549350167,Q3 (Upper-Mid),Sabah
1.79048,109.786377,0.424,0.553,11.781433,0.004723988675786601,Q4 (Richest),Sarawak
3.4805234,114.4226074,-0.116,0.515,11.740409,0.005077219286936281,Q2 (Lower-Mid),Sarawak
4.0505767,100.9313965,-0.149,0.53,20.496391,0.00570365560807414,Q2 (Lower-Mid),Central
5.2550677,119.2565918,-0.129,0.511,11.117162,0.0015959782611455503,Q2 (Lower-Mid),Sabah
4.1163273,114.3566895,-0.587,0.542,11.24852,0.002146022220878455,Q1 (Poorest),Sabah
2.2296616,102.3376465,0.062,0.531,15.2234335,0.005360989896761848,Q3 (Upper-Mid),Southern
2.0759616,103.9416504,0.599,0.555,12.60868,0.0034845887385009256,Q4 (Richest),Southern
2.6467632,102.3376465,0.263,0.518,16.134903,0.0031808411584917456,Q3 (Upper-Mid),Southern
2.0100856,113.0822754,0.253,0.526,14.464382,0.005618791289925697,Q3 (Upper-Mid),Sarawak
5.3644596,100.579834,1.091,0.56,17.16799,0.004867119738069609,Q4 (Richest),Central
1.6806671,103.2165527,-0.35,0.518,14.254185,0.004603888526854299,Q2 (Lower-Mid),Southern
1.8563646,111.4562988,-0.818,0.451,10.946889,0.0018826071151749732,Q1 (Poorest),Sarawak
6.6536952,117.1252441,-0.477,0.58,13.810861,0.0013276428020711638,Q1 (Poorest),Sabah
5.8018269,102.052002,0.06,0.536,15.9718275,0.004365467691913873,Q3 (Upper-Mid),Northern
1.7026302,103.9855957,0.609,0.539,13.084698,0.0024434171017430352,Q4 (Richest),Southern
2.7784514,102.4255371,0.532,0.546,16.489912,0.003492379016053326,Q4 (Richest),Southern
3.3050503,101.3928223,0.62,0.541,20.68354,0.0021749232513091203,Q4 (Richest),Southern
2.0759616,111.5222168,0.74,0.508,11.803021,0.002946061960928035,Q4 (Richest),Sarawak
3.5463174,103.2385254,0.103,0.543,15.719719,0.0037629089561492216,Q3 (Upper-Mid),Central
3.458591,113.6096191,0.041,0.539,9.97503,0.005848154666563224,Q3 (Upper-Mid),Sarawak
2.84429,102.3156738,0.087,0.515,16.553535,0.0009771709107137233,Q3 (Upper-Mid),Southern
6.6973426,116.751709,-0.46,0.516,12.549956,0.004037273964240206,Q1 (Poorest),Sabah
1.9002862,111.6320801,0.298,0.527,11.875305,0.0055459838123829595,Q3 (Upper-Mid),Sarawak
3.8752158,113.807373,-0.635,0.484,9.6903715,0.002382488272555927,Q1 (Poorest),Sarawak
2.2077054,103.1726074,-0.143,0.539,14.560806,0.003613689156774751,Q2 (Lower-Mid),Southern
5.2988268,116.4001465,-0.765,0.544,11.902778,0.0061796786888404145,Q1 (Poorest),Sabah
6.3917304,99.7229004,0.341,0.527,15.150056,0.0038848519215824652,Q4 (Richest),Northern
2.9101249,101.282959,0.724,0.565,17.306335,0.005286480039906937,Q4 (Richest),Southern
2.8662354,112.3571777,-0.354,0.538,12.507636,0.00250079134817535,Q2 (Lower-Mid),Sarawak
4.9048867,101.1071777,0.27,0.534,19.027277,0.002177303894038382,Q3 (Upper-Mid),Central
6.1951683,116.9494629,-0.425,0.568,11.812469,0.004466370739131667,Q1 (Poorest),Sabah
2.932069,112.3791504,-0.364,0.47,12.310424,0.005080968976184312,Q2 (Lower-Mid),Sarawak
2.6467632,113.6096191,-0.048,0.441,13.286927,0.004941055105563401,Q2 (Lower-Mid),Sarawak
4.1601581,100.9753418,0.068,0.514,19.591545,0.00485401883627598,Q3 (Upper-Mid),Central
4.4011829,117.322998,-0.665,0.435,12.394062,0.004309019406764316,Q1 (Poorest),Sabah
6.4354006,116.6418457,-0.676,0.552,12.374667,0.003176313652020322,Q1 (Poorest),Sabah
5.2769476,102.9089355,-0.546,0.506,14.079007,0.004392100202440075,Q1 (Poorest),Central
3.458591,101.920166,0.753,0.508,17.504904,0.006024358775566538,Q4 (Richest),Southern
2.3833455,102.5134277,0.218,0.522,15.577476,0.002282005049081284,Q3 (Upper-Mid),Southern
